Symbol
EDIT
NTLA
RIVN
DIS
AMGN
CHPT
MTN
CSCO
AMZN
CRM
VOO
MSFT
IBM
CRWD
ALGM
NVDA
PLTR
SONY
ON
NFLX
TSM
PANW
MDB
CHWY
AMD
AAPL
QCOM
CRSP
LOGI
IOT
